Model Number,Case Style,Description,Passband F1 (MHz),Passband F2 (MHz),Stopband F3 (MHz),Rejection @ F3 (dB),Stopband F4 (MHz),Rejection @ F4 (dB),Filter Type,Technology,Interface,Impedance (O)
CSBP-A1843+,KU1513,"Ceramic Resonator Band Pass Filter, 1765-1920 MHz",1765,1920,DC-1580,20,2095-3300,20,Band Pass,Ceramic Resonator,SMT,50
CSBP-D1189+,KS1509,"Ceramic Resonator Band Pass Filter, 1130-1246 MHz",1130,1246,DC-950,20,1550-2400,20,Band Pass,Ceramic Resonator,SMT,50
CSBP-D1228+,KS1509,"Ceramic Resonator Band Pass Filter, 1203-1253 MHz",1203,1253,DC-1020,20,1425-2500,20,Band Pass,Ceramic Resonator,SMT,50
JCBP-290+,BG291,"Lumped LC Band Pass Filter, 100-480 MHz",100,480,65,20,630,20,Band Pass,Lumped LC,SMT,50
JCBP-900+,BG291,"Lumped LC Band Pass Filter, 480-1320 MHz",480,1320,380,20,1790,20,Band Pass,Lumped LC,SMT,50
MBPA-693+,QN2178-3,"Lumped LC Band Pass Filter, 673-713 MHz",673,713,DC-575,60,790-5000,60,Band Pass,Lumped LC,SMT,50
RBP-75+,GP731,"Lumped LC Band Pass Filter, 60-90 MHz",60,90,37,20,122,20,Band Pass,Lumped LC,SMT,50
RBP-98+,GP731,"Lumped LC Band Pass Filter, 75-131 MHz",75,131,55,20,170,20,Band Pass,Lumped LC,SMT,50
RBP-130+,GP731,"Lumped LC Band Pass Filter, 95-180 MHz",95,180,50,20,280,20,Band Pass,Lumped LC,SMT,50
RBP-135+,GP731,"Lumped LC Band Pass Filter, 120-150 MHz",120,150,85,20,210,20,Band Pass,Lumped LC,SMT,50
RBP-140+,GP731,"Lumped LC Band Pass Filter, 130-150 MHz",130,150,DC-100,20,178-3000,20,Band Pass,Lumped LC,SMT,50
RBP-160+,GP731,"Lumped LC Band Pass Filter, 120-210 MHz",120,210,85,20,280,20,Band Pass,Lumped LC,SMT,50
RBP-173+,GP731,"Lumped LC Band Pass Filter, 160-185 MHz",160,185,129,20,230,20,Band Pass,Lumped LC,SMT,50
RBP-188+,GP731,"Lumped LC Band Pass Filter, 138-238 MHz",138,238,DC-96,20,315-3600,20,Band Pass,Lumped LC,SMT,50
